Wall time,Step,Value
1748709362.2015655,1,2.6942057609558105
1748710385.702767,2,2.237499713897705
1748711407.965639,3,2.0139975547790527
1748712431.8213098,4,1.8227910995483398
1748713457.23014,5,1.6928893327713013
1748714480.742778,6,1.5432597398757935
1748715505.9775393,7,1.458333969116211
1748716530.925065,8,1.309761881828308
1748717554.5931494,9,1.1987088918685913
1748718578.4741154,10,1.1456693410873413
1748719598.2407012,11,1.022123098373413
1748720619.281284,12,0.9394528269767761
1748721640.0943263,13,0.865422248840332
1748722663.1667228,14,0.8390218019485474
1748723691.0995197,15,0.763748049736023
